Title,Link,Category,Rating,Thumbnail,Description
"""Subway Surfers""","""https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf""","""Arcade""","""4.6""","""https://play-lh.googleusercontent.com/ykHUp1lJfS8xJ9SKi8xGqW2h7D0dCGK_0_77Z35yVoeRKpZn1RdLQJOP5cOHf20vvIU6=s128-rw""","""DASH as fast as you can!"""
"""Cryptogram Letters and Numbers""","""https://play.google.com/store/apps/details?id=com.crypt.gram.puzz""","""Word""","""4.3""","""https://play-lh.googleusercontent.com/sIusqkBjdggTExld4-A6uegpFFn8SWaGnQjSh5tw03hUxgkJmmofTVcDLUh43jNcke8=s128-rw""","""Cryptogram: Number & Word Puzzles — Decode, Deduce, Conquer!"""
"""Magic Tiles 3: Piano Game""","""https://play.google.com/store/apps/details?id=com.youmusic.magictiles""","""Music""","""3.9""","""https://play-lh.googleusercontent.com/G_ulSeiaHRmXBW98_7oq2UPp0uxO7ZMpXZHQk_h0g3Qk3tyWuXXO2qlMHxkDmz3UD4c=s128-rw""","""Do you love music games and playing along to your favorite songs on piano tiles?"""
"""Paper.io 2""","""https://play.google.com/store/apps/details?id=io.voodoo.paper2""","""Arcade""","""3.6""","""https://play-lh.googleusercontent.com/qbhOBLVCkb22a9ia4pekPggqip1BkIiSm1-sP1z5oj0f10gDwj1uL1spnwFWg4bf4Q=s128-rw""","""Welcome to the next level of addictive and thrilling gameplay with Paper.io 2! Enter a colorful and dynamic world where strategy,skill,and cunning are your greatest allies. Prepare to embark on an epic journey of conquest as you strive to dominate the virtual realm and become the ultimate champion!"""
"""Candy Crush Saga""","""https://play.google.com/store/apps/details?id=com.king.candycrushsaga""","""Casual""","""4.6""","""https://play-lh.googleusercontent.com/TLUeelx8wcpEzf3hoqeLxPs3ai1tdGtAZTIFkNqy3gbDp1NPpNFTOzSFJDvZ9narFS0=s128-rw""","""Master the legendary match 3 puzzle game from King and have a blast! With over a trillion matching levels played, Candy Crush Saga is the popular match 3 puzzle game!"""
"""Vita Mahjong for Seniors""","""https://play.google.com/store/apps/details?id=com.vitastudio.mahjong""","""Board""","""4.9""","""https://play-lh.googleusercontent.com/uqRUH5NPLigNiEfIWr9FtYgucUB_R--nINnkufTJvf3MWna7kPFoRNYlqZHuVi-e6FY=s128-rw""","""Vita Mahjong is an Exclusive Puzzle Game of Tile Matching. We are thrilled to present the mahjong solitaire game that combines innovation with classic gameplay. It offers large tiles and a user-friendly interface compatible with pads and phones. Our goal is to provide a relaxing yet mentally engaging gaming experience, particularly focused on older adults."""
"""Mob Control""","""https://play.google.com/store/apps/details?id=com.vincentb.MobControl""","""Arcade""","""4.3""","""https://play-lh.googleusercontent.com/fYW81WEQjExj4VrCNcoWLJpn_YDRCTi_vdgwF7O61Th5715qbzopngJd7Ae2-ec-r24=s128-rw""","""Exciting Update: Dive into the Transformers Universe with our latest integration! Kick things off with Bumblebee in a brand-new story mode. And hold onto your hats because more legends like Optimus Prime are rolling out to join the fray in Mob Control. It's time for an epic crossover event that’s going to revolutionize your game experience!"""
"""UNO!™""","""https://play.google.com/store/apps/details?id=com.matteljv.uno""","""Card""","""4.4""","""https://play-lh.googleusercontent.com/-dkLgwYiDOWhrSwRGRGXsu_-VmU13lC_SWbsv08GtgaNrOfanJHaBF3g7b5Zww23LbxR=s128-rw""","""UNO!™ is now mobile! Take the classic card game from the kitchen table anywhere! Now with new rules,world series tournaments,modes of play,and much more. Whether you’re at home,on the go,an UNO!™ veteran or completely new,UNO!™ has something for everyone in the family. UNO!™ is a fun and memorable family-friendly card game wherever and whenever."""
"""Braindom: Brain Games Test""","""https://play.google.com/store/apps/details?id=com.braindom""","""Word""","""4.8""","""https://play-lh.googleusercontent.com/6skyXaefYf3uMAhHL0q0jYQSvtIQiQavOMkab6m6DHuJyweNfg4TEi350baUMQ82ZHk=s128-rw""","""Looking for brain games, brain tests, tricky puzzles to play and become the riddle master?"""
"""Battle Table Tennis-Ball Ace""","""https://play.google.com/store/apps/details?id=com.batgx.isiq""","""Arcade""","""1.8""","""https://play-lh.googleusercontent.com/kLs9D_X0A6rQbQTPorIszmoxEF8pdXdzzhzSfdjDI-5S1gZJhLAvlnseYsjY-3GUL4s=s128-rw""","""Engage in thrilling table tennis battles against challenging opponents, showcasing your skills and reflexes in fast-paced matches."""
